,Unnamed: 0,HR1_10SCALE,HR2_1,HR2_2,HR2_3,HR2_4,HR2_5,HR3,HR4,HR5,HR7_1,HR7_2,HR7_3,STIMULUS2,STIMULUS3,PERSONAL2,MEDIA5,MEDIA6_6,MEDIA11,DEMOGRAPHIC4,DEMOGRAPHIC13
359,359,4,3,1,3,4,4,3,2,4,2,1,1,C,1,2,D,4,2,CO,2
360,360,10,5,5,3,4,4,2,3,4,4,4,3,B,3,2,B,4,4,CA,0
361,361,1,5,2,5,5,5,4,2,4,4,3,3,C,1,2,B,5,4,PA,1
362,362,8,4,4,3,3,3,3,3,4,3,4,3,C,2,2,C,5,0,MD,1
363,363,1,1,1,3,1,1,1,1,1,3,1,1,B,1,2,D,3,1,IN,0
364,364,5,3,1,5,4,4,3,1,3,4,4,3,C,0,3,D,4,0,NC,0
365,365,7,2,4,3,3,4,3,3,3,2,3,4,A,2,3,C,3,0,MS,1
366,366,6,4,4,4,4,4,0,2,0,0,0,0,C,0,2,F,5,0,CA,1
367,367,1,5,4,5,4,4,3,4,3,3,4,4,A,2,1,A,3,1,CA,2
368,368,1,3,5,4,4,3,2,4,4,2,3,2,B,3,2,C,0,2,NJ,1
369,369,1,2,1,3,2,2,1,2,1,3,3,0,C,2,3,C,2,0,SC,1
370,370,1,2,3,3,3,3,0,1,2,2,1,3,C,1,2,C,1,0,PA,1
371,371,9,4,3,4,4,5,3,3,3,3,4,3,B,3,2,C,4,2,IL,1
372,372,7,1,4,3,2,4,3,3,2,3,4,3,A,1,2,A,5,0,NY,1
373,373,2,4,4,4,4,0,4,2,1,4,3,0,C,1,2,A,2,0,VA,1
374,374,2,5,4,3,2,1,4,3,4,2,3,4,A,3,3,A,5,0,NV,2
375,375,5,5,5,5,5,4,3,4,4,4,4,3,A,0,2,B,0,2,VA,2
376,376,1,5,4,5,4,5,4,3,4,3,4,3,C,2,3,C,4,0,TX,2
377,377,6,5,5,5,5,5,4,4,4,1,2,2,A,2,2,C,4,1,CA,1
378,378,2,1,1,1,1,1,0,0,1,2,0,1,B,1,1,E,2,0,IL,0
379,379,9,2,2,4,0,0,3,3,2,1,1,1,C,2,1,B,3,0,OH,0
380,380,2,3,3,4,3,3,4,2,3,1,1,1,B,2,1,A,1,0,SC,2
381,381,1,5,5,4,5,5,4,4,4,3,3,4,B,3,3,C,5,4,NY,2
382,382,1,4,4,5,5,5,4,1,3,4,4,4,B,2,3,C,3,0,FL,2
383,383,9,3,0,4,4,2,4,2,4,2,2,3,B,3,2,B,1,4,FL,1
384,384,8,3,2,3,3,2,2,2,2,2,1,2,A,1,2,B,3,3,WA,1
385,385,1,2,5,0,2,2,0,2,2,3,1,1,C,0,1,D,1,0,IL,0
386,386,1,5,5,5,5,5,4,4,4,4,4,4,C,3,3,A,5,0,NY,3
387,387,2,4,2,2,3,5,3,1,3,1,0,3,A,2,2,D,0,2,TX,1
388,388,6,2,0,0,1,0,1,1,1,2,2,2,C,0,0,F,3,0,PA,1
389,389,8,4,5,5,3,3,3,3,3,3,3,4,A,2,2,A,4,0,NJ,1
390,390,2,2,2,2,2,2,1,4,2,3,1,2,A,1,0,B,2,2,PA,0
391,391,9,5,3,5,4,5,1,4,4,3,4,2,B,3,1,A,5,4,NY,1
392,392,7,1,1,1,1,2,1,1,1,3,1,1,C,1,2,A,4,2,OH,1
393,393,10,4,3,4,4,3,4,2,3,1,2,1,C,1,3,A,3,2,IN,1
394,394,2,3,3,2,3,3,3,3,3,2,1,3,B,1,1,C,2,3,TX,3
395,395,5,4,3,5,4,5,3,3,2,0,2,3,C,1,2,B,2,0,IL,1
396,396,3,1,4,3,5,2,2,2,3,3,3,3,C,2,2,C,4,0,OH,1
397,397,5,2,1,2,4,1,1,1,1,0,3,2,B,1,2,D,1,2,CT,0
398,398,9,5,4,5,5,5,4,3,3,4,3,3,B,2,1,A,2,2,MO,2
399,399,2,4,2,5,3,3,3,1,3,3,3,3,C,2,3,D,2,0,NY,2
400,400,1,3,4,5,5,5,2,2,2,4,4,4,B,2,3,C,4,0,NY,1
401,401,1,2,1,4,5,3,3,1,1,4,4,3,A,1,2,B,0,0,FL,0
402,402,1,4,2,4,0,0,3,2,1,0,3,3,B,0,2,D,3,2,RI,0
403,403,9,5,5,5,5,5,4,3,4,4,4,4,A,2,2,A,4,3,GA,2
404,404,10,5,5,5,5,5,4,3,4,4,0,2,C,3,3,C,4,0,NY,1
405,405,8,0,0,0,0,0,0,0,0,0,0,0,C,0,3,C,0,0,TX,0
406,406,5,3,0,0,0,0,0,2,0,0,0,0,C,0,1,A,2,0,CA,1
407,407,8,2,2,3,3,3,2,2,2,3,1,3,A,1,1,C,1,3,VA,0
408,408,5,4,2,4,3,3,4,2,0,2,1,1,C,1,1,E,3,0,WY,0
409,409,10,2,2,3,4,4,3,2,3,4,3,3,C,1,2,D,2,3,FL,0
410,410,1,1,1,3,3,3,1,1,1,4,0,0,B,1,3,C,0,4,LA,0
411,411,10,5,5,5,5,5,4,4,4,4,4,4,B,3,3,F,5,4,IL,3
412,412,1,1,2,4,2,3,1,1,2,3,3,4,A,2,2,C,2,3,TX,1
413,413,1,4,4,4,4,5,4,4,1,1,4,1,C,1,2,D,4,4,IN,1
414,414,1,3,2,2,3,3,2,1,3,3,3,3,C,1,3,B,2,2,PA,0
415,415,10,5,5,5,5,5,4,4,4,4,3,4,A,3,3,A,3,0,TX,1
416,416,7,3,4,5,3,3,3,2,3,0,2,3,C,2,1,E,4,0,WI,0
417,417,1,1,2,4,4,0,3,2,3,4,1,1,C,2,1,D,0,3,SC,2
418,418,5,1,1,1,1,1,1,1,2,2,2,2,C,1,0,A,2,0,NC,3
419,419,8,5,5,4,4,5,4,3,4,3,4,4,A,2,2,C,5,0,CA,0
420,420,3,3,1,2,2,2,2,1,0,0,1,1,C,1,0,F,1,0,IA,0
421,421,9,1,1,3,3,3,3,1,2,1,0,2,C,3,2,F,3,0,TX,1
422,422,1,3,3,4,3,3,3,2,3,0,2,0,C,0,2,A,3,4,TX,0
423,423,1,3,3,3,0,0,0,2,0,0,1,2,B,2,0,D,3,4,AR,1
424,424,1,2,1,5,5,5,4,2,4,4,4,4,C,1,2,D,2,0,FL,0
